start,end,"Bitte bestätige, dass du mit der Verarbeitung deiner Daten in anonymisierter Form einverstanden bist. Eine Teilnahme ist freiwillig.",Gruppe,Bitte wähle deine Gruppe./A,Bitte wähle deine Gruppe./B,Mein Alter ist:,Ich bin,Mein höchster Abschluss ist:,Meine Erfahrungen mit SEE sind,Ich habe einen beruflichen Hintergrund im Bereich der Informatik.,Ich bin an der Entwicklung der Software SEE beteiligt.,Ich habe Erfahrungen mit Java-Entwicklung.,Ich habe Erfahrungen mit Java-Entwicklung./Ja,Ich habe Erfahrungen mit Java-Entwicklung./Nein,Ich habe Erfahrungen mit Spring Entwicklung.,Ich habe Erfahrungen mit Spring Entwicklung./Ja,Ich habe Erfahrungen mit Spring Entwicklung./Nein,see_task1_start_update,see_task1_done_update,tlx_1_1,tlx_1_2,tlx_1_3,tlx_1_4,tlx_1_5,tlx_1_6,see_task2_start_update,see_task2_done_update,tlx_2_1,tlx_2_2,tlx_2_3,tlx_2_4,tlx_2_5,tlx_2_6,sus1,sus2,sus3,sus4,sus5,sus6,sus7,sus8,sus9,sus10,"Gibt es sonst noch etwas, was du gerne anmerken willst?","Vielen Dank nochmal, dass du dich entschlossen hast, an meiner Studie teilzunehmen. 
Klicke jetzt nur noch auf den Button und sende die Umfrage ab (Dies kann einen Moment dauern. Bitte schließe das Browser-Fenster erst, wenn das Senden abgeschlossen ist.)","Drücke ""Start Study"" um die Studie zu beginnen. Bitte warte bis die initiale Zuordnung abgeschlossen ist und sich die Szene nicht mehr verändert.",see_task2a_ready_update,"Sobald du mit der zweiten Aufgabe beginnen möchtest, klicke bitte auf OK. Ab diesem Zeitpunkt wird die Zeit gestoppt.",_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2024-07-27T16:31:19.772+02:00,2024-07-27T17:29:04.469+02:00,OK,A,1,0,27,Männlich,Master bzw. Diplom,Ich habe damit noch nie gearbeitet,Ja,Nein,Ja,1,0,Ja,1,0,2024-07-27T16:54:33.924+02:00,2024-07-27T17:11:12.470+02:00,7,9,5,9,6,8,2024-07-27T17:12:43.504+02:00,2024-07-27T17:22:12.925+02:00,8,9,8,7,7,8,2,4,1,4,2,2,2,4,2,2,"Das wechseln der verschiedenen Interaktionsmodi über die Leertaste ist unintuitiv. Besser wäre, wenn verschiedene Interaktionen über ein Kontextmenü angewählt werden können. Dass die Kamera mit rechtsklick gesteuert wird, sich aber auch auf rechtsklick ein Kontextmenü öffnet ist ungünstig. Das Blinken der Vorschläge geh ein wenig unter, durch die ganzen kanten. Wenn man den sourcecode liest, können trotzdem noch andere klassen ausgewählt werden, was zum versehentlichen wechseln in eine andere klasse geführt hat.",,,,,2024-07-27T15:29:02,Approved,,submitted_via_web,,vAJyHXYxHTRLbeGed7J98z,,1
2024-07-27T19:02:43.609+02:00,2024-07-27T19:46:48.041+02:00,OK,B,0,1,26,Männlich,Allgemeine Hochschulreife/ Fachgebundene Hochschulreife,Ich habe damit noch nie gearbeitet,Ja,Nein,Ja,1,0,Nein,0,1,2024-07-27T19:13:55.213+02:00,2024-07-27T19:29:13.722+02:00,9,5,2,7,9,7,2024-07-27T19:31:28.198+02:00,2024-07-27T19:37:57.180+02:00,4,3,1,9,2,3,4,2,4,1,4,3,5,2,4,3,"Es gab unsicherheiten beim ersten Versuch. Beim zweiten Versuch wurden meine Vorschlaege der Zuordnung durch das makieren der einzelnen Architektur Komponenten positiver wahrgenommen. Eine Art unterstuetzung die einem Psychologisch darauf hinarbeitet, dass diese Klasse in diese bestimmte Architektur Komponente rein gehoert. Der Gedanke beim ersten Versuch, etwas der falschen Schicht zuzuordnen hat innerlich eher Stress ausgeloest, welches auch durch den Zeitdruck zustande gekommen ist(?). Aufgabenstellung war beim zweiten versuch sehr klar und fuehlte mich wohler in der Software zu navigieren und alles zuzuordnen.",,,,,2024-07-27T17:46:48,Approved,,submitted_via_web,,vfmjx4iZtxmYUBnU2sgqrw,,2
2024-07-27T18:43:25.746+02:00,2024-07-27T19:23:28.127+02:00,OK,A,1,0,28,Männlich,Fachhochschulreife,Ich habe damit noch nie gearbeitet,Ja,Nein,Ja,1,0,Nein,0,1,2024-07-27T18:44:30.531+02:00,2024-07-27T18:53:02.453+02:00,7,3,1,2,4,8,2024-07-27T18:56:15.432+02:00,2024-07-27T19:10:44.899+02:00,7,10,1,5,4,9,1,3,4,1,2,3,3,2,3,2,"Reflexionsanalyse abgestürzt, endlose Fehlernachrichten. Ein Baustein ließ sich nicht mehr bewegen und zeigte ein großes Blinklicht. Feedbacksound teilweise störend. Kantennetz unübersichtlich: Architekturkanten waren teils im Weg. Kanten teilweise farblos/durchsichtig. Legende der Steuerungsbefehle wäre hilfreich. Schalter für feste (Vogel-)Perspektiven wäre hilfreich gewesen. Teilweise schwammige Auswahl der Knoten (Kontextmenu zum falschen Knoten wurde geöffnet)",,,,,2024-07-27T19:23:29,Approved,,submitted_via_web,,vfmjx4iZtxmYUBnU2sgqrw,,3
2024-07-28T16:22:38.541+02:00,2024-07-28T17:14:35.365+02:00,OK,B,0,1,25,Männlich,Master bzw. Diplom,Ich habe damit noch nie gearbeitet,Ja,Nein,Ja,1,0,Nein,0,1,2024-07-28T16:41:23.209+02:00,2024-07-28T16:58:03.837+02:00,4,3,2,7,4,3,2024-07-28T17:00:03.813+02:00,2024-07-28T17:11:17.960+02:00,2,1,2,7,2,2,3,1,1,1,4,1,4,2,3,1,Richtung der Kanten nicht klar erkennbar.,,,,,2024-07-28T16:14:35,Approved,,submitted_via_web,,vfmjx4iZtxmYUBnU2sgqrw,,4
2024-07-28T23:27:30.755+02:00,2024-07-29T00:14:20.929+02:00,OK,A,1,0,29,Männlich,Allgemeine Hochschulreife/ Fachgebundene Hochschulreife,Ich habe damit noch nie gearbeitet,Ja,Nein,Ja,1,0,Ja,1,0,2024-07-28T23:44:19.512+02:00,2024-07-28T23:52:49.742+02:00,2,1,1,9,2,2,2024-07-28T23:55:50.791+02:00,2024-07-29T00:01:26.877+02:00,2,1,1,7,2,4,5,2,5,1,4,2,5,1,4,1,"Wünschenswert wäre eine automatisches Zuordnung der Implementierungen in die passende Architektur, das Deaktivieren von möglicherweise verbuggten Funktionen (Scrollrad) und farbliche Unterscheidung der verschiedenen Architekturebenen zur schnelleren Findung. Vewirrt hat mich etwas die Verbindung aller Komponenten zum leeren Code-Facts Bereich. Ansonsten super! :)",,,,,2024-07-28T22:14:16,Approved,,submitted_via_web,,vfmjx4iZtxmYUBnU2sgqrw,,5
2024-07-29T12:32:01.379+02:00,2024-07-29T13:06:07.374+02:00,OK,B,0,1,24,Männlich,Fachhochschulreife,Ich arbeite täglich damit,Ja,Ja,Ja,1,0,Ja,1,0,2024-07-29T12:45:46.217+02:00,2024-07-29T12:53:22.994+02:00,2,4,1,10,3,2,2024-07-29T12:57:07.249+02:00,2024-07-29T13:01:38.392+02:00,1,2,2,9,2,3,4,1,4,1,4,1,5,1,4,1,Namen der Blöcken waren schwer zu lesen. Kanten leuchten teilweise recht stark und sind daher auch eher schwerer zu erkenen,,,,,2024-07-29T11:05:51,Approved,,submitted_via_web,,vkVpGSeuf8kRYAh52zEPh9,,6
2024-07-29T13:54:48.417+02:00,2024-07-29T14:42:37.140+02:00,OK,B,0,1,26,Männlich,Bachelor,Ich habe damit noch nie gearbeitet,Ja,Nein,Ja,1,0,Nein,0,1,2024-07-29T14:16:11.844+02:00,2024-07-29T14:27:47.699+02:00,7,1,1,7,6,7,2024-07-29T14:29:49.002+02:00,2024-07-29T14:35:04.035+02:00,2,1,1,9,2,2,4,1,3,5,2,3,1,2,2,4,"Ich fand SEE nicht unnötig komplex, aber die Thematik dahinter ist grundlegend komplex, da man allgemein Zeit braucht eine Architektur eines Systems und die Zusammenhänge zwischen den Komponenten zu verstehen. Ich denke auch die Nutzung allgemein ist einfach, aber zu verstehen was die verschiedenen Aktionen eigentlich bedeuten, ist komplex. Einige Nutzerelemente wie die Farben der Richtungskanten zwischen Architekturkomponenten müssten stärker im Kontrast sein um die Richtung wahrzunehmen. Man tendiert eher zu scrollen wenn man kleine Objekte genauer beobachten möchte, statt Q und E zu nutzen.",,,,,2024-07-29T12:42:35,Approved,,submitted_via_web,,vkVpGSeuf8kRYAh52zEPh9,,7
2024-07-29T18:49:33.473+02:00,2024-07-29T19:29:56.505+02:00,OK,A,1,0,30,Männlich,Master bzw. Diplom,Ich habe damit noch nie gearbeitet,Ja,Nein,Ja,1,0,Nein,0,1,2024-07-29T19:11:17.755+02:00,2024-07-29T19:18:24.315+02:00,7,8,5,9,6,5,2024-07-29T19:19:41.191+02:00,2024-07-29T19:26:41.204+02:00,7,8,6,7,7,6,3,2,2,3,4,3,2,4,3,2,Connections were highlighted too brightly for my taste. The usage was a little bit fummelig.,,,,,2024-07-29T17:29:56,Approved,,submitted_via_web,,vkVpGSeuf8kRYAh52zEPh9,,8
2024-07-30T11:04:28.765+02:00,2024-07-30T11:53:48.573+02:00,OK,A,1,0,27,Männlich,Master bzw. Diplom,Ich arbeite sehr unregelmäßig damit,Ja,Nein,Ja,1,0,Nein,0,1,2024-07-30T11:25:47.846+02:00,2024-07-30T11:36:03.035+02:00,7,3,2,9,4,3,2024-07-30T11:37:45.051+02:00,2024-07-30T11:49:50.521+02:00,9,4,4,7,9,4,3,1,4,2,3,4,5,2,5,1,Ich hab die Recommendations nicht wirklich verstanden. Scrollen im Code Editor hat layout verschoben. Ich wusste aber das ich nicht scrollen soll. Generell input nur im Code Editor lassen.,,,,,2024-07-30T09:53:48,Approved,,submitted_via_web,,vkVpGSeuf8kRYAh52zEPh9,,9
2024-07-30T12:21:28.869+02:00,2024-07-30T12:53:18.502+02:00,OK,B,0,1,31,Männlich,Master bzw. Diplom,Ich arbeite täglich damit,Ja,Ja,Ja,1,0,Nein,0,1,2024-07-30T12:34:06.854+02:00,2024-07-30T12:41:19.036+02:00,2,2,3,3,3,3,2024-07-30T12:42:47.476+02:00,2024-07-30T12:49:40.289+02:00,2,3,3,2,4,3,4,2,2,1,4,1,4,1,5,2,,,,,,2024-07-30T10:53:21,Approved,,submitted_via_web,,vkVpGSeuf8kRYAh52zEPh9,,10
2024-07-31T09:53:12.420+02:00,2024-07-31T11:05:47.217+02:00,OK,A,1,0,36,Männlich,Master bzw. Diplom,Ich arbeite täglich damit,Ja,Ja,Ja,1,0,Ja,1,0,2024-07-31T10:30:49.462+02:00,2024-07-31T10:46:43.817+02:00,5,2,1,6,7,5,2024-07-31T10:50:22.549+02:00,2024-07-31T10:58:36.663+02:00,6,2,7,6,5,5,3,4,2,3,4,3,2,4,2,4,"Teilweise war das Hovern nicht immer möglich, sodass die Kanten und Namen nicht eingeblendet wurden. | Die Kanten für die Architektur-Vorgaben und die Abhängigkeiten könnten farblich unterschieden werden. | Die Schattierung der gerichteten Kanten ist schwer zu erkennen. | Reflexionsanalyse ist bei Aufgabe 1 abgestürzt.",,,,,2024-07-31T09:05:47,Approved,,submitted_via_web,,vkVpGSeuf8kRYAh52zEPh9,,12
2024-07-31T11:16:48.360+02:00,2024-07-31T11:51:53.991+02:00,OK,B,0,1,28,Männlich,Bachelor,Ich arbeite mind. einmal pro Woche damit,Ja,Ja,Nein,0,1,Nein,0,1,2024-07-31T11:36:42.241+02:00,2024-07-31T11:41:40.184+02:00,6,3,2,5,3,5,2024-07-31T11:43:27.214+02:00,2024-07-31T11:48:31.620+02:00,6,6,5,8,7,8,4,1,5,1,5,1,5,1,4,1,Ich fand die Architekturhilfe sehr hilfreich. Die Kanten haben einen guten Überblick über die Abhängigkeiten geben.,,,,,2024-07-31T09:51:56,Approved,,submitted_via_web,,vkVpGSeuf8kRYAh52zEPh9,,13
2024-07-31T12:19:25.452+02:00,2024-07-31T13:02:41.699+02:00,OK,A,1,0,25,Männlich,Bachelor,Ich habe damit noch nie gearbeitet,Ja,Nein,Ja,1,0,Ja,1,0,2024-07-31T12:42:18.038+02:00,2024-07-31T12:48:38.690+02:00,2,1,1,10,2,2,2024-07-31T12:49:41.328+02:00,2024-07-31T12:53:37.459+02:00,3,1,1,8,3,2,3,1,4,2,3,2,5,1,5,1,"UI von der Tree View ggf. etwas übersichtlicher machen (zu groß, zur Seite aufklappen statt nach unten um weniger zu scrollen). Architekturtemplates anbieten (spätere Erweiterung).",,,,,2024-07-31T11:02:48,Approved,,submitted_via_web,,vkVpGSeuf8kRYAh52zEPh9,,14
2024-08-03T21:18:30.314+02:00,2024-08-03T22:16:42.781+02:00,OK,B,0,1,29,Männlich,Master bzw. Diplom,Ich habe damit noch nie gearbeitet,Ja,Nein,Ja,1,0,Ja,1,0,2024-08-03T21:42:24.193+02:00,2024-08-03T21:50:02.431+02:00,5,5,1,6,5,1,2024-08-03T21:52:56.711+02:00,2024-08-03T22:05:36.100+02:00,5,10,5,10,8,6,2,1,1,5,5,1,3,5,3,4,"Die Steuerung hat nicht immer funktioniert (greifen von Knoten nur unter ganz starkem zoom), oft vergriffen. Knoten sind bei Zuordnung zu einer Schicht häufig unter die Schicht gefallen.",,,,,2024-08-03T20:16:45,Approved,,submitted_via_web,,vkVpGSeuf8kRYAh52zEPh9,,15
