month,AOD_500nm,AOD_870nm,AE_440_870,obs_days,Total_AOD_500nm[tau_a],Fine_Mode_AOD_500nm[tau_f],Coarse_Mode_AOD_500nm[tau_c],FineModeFraction_500nm[eta]
2010-07,0.274226,0.213953,0.531175,27,0.277313,0.098392,0.178921,0.368267
2010-08,0.47034,0.389411,0.476961,24,0.350614,0.12172,0.228894,0.358619
2010-09,0.234899,0.169284,0.758553,28,0.235283,0.096488,0.138794,0.455413
2010-10,0.358978,0.309412,0.414574,25,0.359424,0.091416,0.268009,0.318977
2010-11,0.286302,0.141943,1.200448,26,0.283441,0.212953,0.070488,0.715851
2010-12,0.316746,0.186193,0.917567,18,0.314796,0.203374,0.111422,0.603449
2011-01,0.264088,0.129864,1.242381,17,0.262736,0.202292,0.060444,0.744869
2011-02,0.188816,0.084989,1.362765,7,0.18814,0.154201,0.033939,0.788422
2011-03,0.245218,0.143391,0.837488,10,0.245221,0.156887,0.088334,0.540978
2011-04,,,,0,,,,
2011-05,,,,0,,,,
2011-06,0.271853,0.203361,0.593972,5,0.255597,0.092381,0.163215,0.375368
2011-07,0.337169,0.257182,0.526847,17,0.328584,0.108776,0.219808,0.339148
2011-08,0.468571,0.396668,0.45032,30,0.46866,0.129395,0.339266,0.325698
2011-09,0.279322,0.215713,0.554325,29,0.278914,0.098489,0.180425,0.372358
2011-10,0.309706,0.234534,0.746082,18,0.30794,0.116117,0.191823,0.461855
2011-11,0.210643,0.091554,1.402579,12,0.208372,0.182346,0.026025,0.832556
2011-12,0.278157,0.124628,1.426854,13,0.275263,0.246613,0.02865,0.88659
2012-01,0.23578,0.099339,1.511818,20,0.233474,0.210481,0.022992,0.902028
2012-02,0.187923,0.083261,1.351495,10,0.184953,0.162446,0.022507,0.851374
2012-03,0.218358,0.132407,0.983227,5,0.215771,0.131963,0.083808,0.628918
2012-04,0.15274,0.088781,1.025109,14,0.151367,0.091719,0.059648,0.601446
2012-05,0.158401,0.102385,0.918752,19,0.157644,0.082657,0.074987,0.551387
2012-06,0.201675,0.133906,0.875156,29,0.200615,0.095322,0.105293,0.498681
2012-07,0.316397,0.219693,0.773356,29,0.315164,0.142486,0.172677,0.472858
2012-08,0.300671,0.228094,0.611448,30,0.300328,0.110638,0.189689,0.391354
2012-09,0.34943,0.285511,0.47014,27,0.348982,0.105929,0.243054,0.333438
2012-10,,,,0,,,,
2012-11,,,,0,,,,
2012-12,0.184012,0.085011,1.451722,15,0.181748,0.15072,0.031028,0.825317
2013-01,0.248495,0.127868,1.245625,20,0.243842,0.188382,0.05546,0.758765
2013-02,0.171077,0.073758,1.514295,11,0.168612,0.144168,0.024443,0.844846
2013-03,0.184485,0.125333,0.857336,15,0.183492,0.089921,0.093571,0.526295
2013-04,0.185101,0.119878,0.914705,16,0.184564,0.096936,0.087628,0.550563
2013-05,0.188042,0.134125,0.850442,25,0.188183,0.082144,0.10604,0.490318
2013-06,0.263456,0.203324,0.583357,26,0.264525,0.095772,0.168753,0.374347
2013-07,0.263039,0.19057,0.717403,30,0.263486,0.108364,0.155122,0.431605
2013-08,0.334899,0.238505,0.722889,27,0.335763,0.142757,0.193005,0.441221
2013-09,0.277817,0.212221,0.606609,30,0.279176,0.10258,0.176595,0.389213
2013-10,0.252227,0.174645,0.789221,27,0.252556,0.118901,0.133655,0.487783
2013-11,0.250097,0.11859,1.327306,19,0.248748,0.202695,0.046052,0.770294
2013-12,0.1393,0.066274,1.306804,6,0.139191,0.108556,0.030634,0.748664
2014-01,,,,0,,,,
2014-02,,,,0,,,,
2014-03,0.168885,0.103964,1.016712,9,0.169791,0.099921,0.069869,0.607076
2014-04,0.156716,0.086951,1.102468,9,0.157501,0.103612,0.053889,0.631828
2014-05,,,,0,,,,
2014-06,0.241073,0.171371,0.74447,6,0.244144,0.105193,0.138951,0.435554
2014-07,0.415941,0.343648,0.501677,22,0.418413,0.126007,0.292406,0.341154
2014-08,0.314151,0.24583,0.547001,31,0.316236,0.110709,0.205527,0.366321
2014-09,0.349096,0.27785,0.547355,28,0.350436,0.116216,0.23422,0.363346
2014-10,0.306217,0.196761,0.89188,24,0.305523,0.162133,0.14339,0.542248
2014-11,0.282229,0.127812,1.418564,15,0.281188,0.251703,0.029485,0.851321
2014-12,0.153553,0.065714,1.402901,20,0.151476,0.134311,0.017165,0.834383
2015-01,,,,0,,,,
2015-02,,,,0,,,,
2015-03,,,,0,,,,
2015-04,0.156861,0.121301,0.628416,21,0.157167,0.058192,0.098975,0.416694
2015-05,0.187054,0.13458,0.710364,25,0.187716,0.078768,0.108948,0.437294
2015-06,0.258187,0.196323,0.693779,29,0.258911,0.096493,0.162418,0.416611
2015-07,0.439157,0.368761,0.546418,13,0.440314,0.125985,0.31433,0.356054
2015-08,,,,0,,,,
2015-09,0.238601,0.1669,0.693391,22,0.238792,0.104093,0.134699,0.429435
2015-10,0.247278,0.166489,0.882321,25,0.246828,0.123053,0.123774,0.528482
2015-11,0.18369,0.088939,1.286208,10,0.182563,0.150933,0.03163,0.784814
2015-12,0.193649,0.081963,1.472246,17,0.191976,0.173133,0.018843,0.881314
2016-01,0.151707,0.07704,1.159736,16,0.150702,0.118671,0.032031,0.68838
2016-02,0.150883,0.080689,1.103151,24,0.149938,0.107743,0.042195,0.669675
2016-03,0.249292,0.148694,0.954137,15,0.247606,0.153151,0.094455,0.596036
2016-04,0.197535,0.121114,0.914267,21,0.196964,0.110761,0.086204,0.539856
2016-05,0.199758,0.145814,0.666703,23,0.200471,0.08203,0.118441,0.412976
2016-06,0.287438,0.233272,0.499025,28,0.28907,0.092314,0.196756,0.340399
2016-07,0.477653,0.418,0.465991,25,0.385491,0.112024,0.273467,0.337533
2016-08,0.281901,0.210682,0.583031,24,0.28275,0.10948,0.17327,0.384655
2016-09,0.280421,0.207675,0.599717,28,0.280865,0.110314,0.170551,0.388621
2016-10,0.380685,0.283512,0.77168,23,0.379654,0.151427,0.228228,0.47498
2016-11,0.249361,0.146165,0.942473,14,0.246097,0.152599,0.093498,0.585672
2016-12,,,,0,,,,
2017-01,,,,0,,,,
2017-02,,,,0,,,,
2017-03,,,,0,,,,
2017-04,0.196407,0.142407,0.678609,16,0.19733,0.085098,0.112232,0.434539
2017-05,0.219536,0.174603,0.602717,27,0.220878,0.075108,0.145769,0.380479
2017-06,0.286395,0.227352,0.546337,27,0.287808,0.097092,0.190715,0.357356
2017-07,0.323426,0.236575,0.710142,27,0.324939,0.130099,0.19484,0.424297
2017-08,0.292961,0.219123,0.584885,23,0.294158,0.113429,0.180729,0.382402
2017-09,0.301348,0.212272,0.678068,23,0.301607,0.131183,0.170424,0.43645
2017-10,0.429063,0.339502,0.594763,28,0.377127,0.145736,0.231391,0.413386
2017-11,0.383704,0.236105,0.914496,21,0.382489,0.24086,0.14163,0.614148
2017-12,0.331295,0.191214,1.078478,18,0.329625,0.227438,0.102187,0.705102
2018-01,0.340561,0.172429,1.177333,19,0.340071,0.273545,0.066527,0.744165
2018-02,0.242599,0.118652,1.317785,8,0.240709,0.187432,0.053278,0.802997
2018-03,0.252229,0.171327,0.811527,13,0.251723,0.123621,0.128103,0.509152
2018-04,0.486093,0.413336,0.504286,7,0.486348,0.14092,0.345429,0.367848
2018-05,,,,0,,,,
2018-06,,,,0,,,,
2018-07,,,,0,,,,
2018-08,,,,0,,,,
2018-09,,,,0,,,,
2018-10,,,,0,,,,
2018-11,,,,0,,,,
2018-12,,,,0,,,,
2019-01,0.17234,0.08464,1.220915,10,0.168597,0.133139,0.035458,0.772443
2019-02,0.176987,0.075984,1.482502,10,0.173609,0.151048,0.022561,0.854979
2019-03,0.22913,0.140722,1.064616,17,0.226187,0.130384,0.095803,0.633567
2019-04,0.20303,0.119504,1.041565,13,0.201823,0.122326,0.079498,0.616887
2019-05,0.15963,0.086484,1.126224,16,0.160273,0.104193,0.056079,0.634347
2019-06,0.244441,0.172975,0.758725,12,0.247468,0.108836,0.138632,0.469709
2019-07,0.316562,0.223656,0.759182,31,0.319983,0.139752,0.180231,0.46337
2019-08,0.369432,0.27455,0.646627,30,0.372203,0.149161,0.223042,0.427527
2019-09,0.395291,0.314361,0.566034,28,0.398814,0.136039,0.262775,0.387937
2019-10,0.264023,0.156249,1.005043,29,0.264547,0.161713,0.102835,0.620912
2019-11,0.517308,0.241124,1.412341,20,0.499667,0.479884,0.019783,0.946977
2019-12,0.218863,0.103973,1.308723,16,0.218352,0.192197,0.026155,0.833106
2020-01,0.250187,0.100388,1.577505,11,0.208497,0.195374,0.013123,0.924074
2020-02,0.162197,0.077939,1.368412,13,0.163842,0.12858,0.035263,0.796987
2020-03,0.193794,0.098944,1.159764,12,0.19608,0.144356,0.051724,0.683049
2020-04,0.159147,0.095105,1.087253,17,0.163164,0.100856,0.062307,0.623252
2020-05,0.155121,0.107888,0.862418,28,0.160382,0.075675,0.084708,0.506223
2020-06,0.20852,0.143338,0.798084,26,0.214156,0.09672,0.117436,0.462139
2020-07,0.207139,0.138772,0.900494,28,0.223176,0.109917,0.113259,0.506969
2020-08,0.335282,0.265693,0.550268,30,0.345783,0.120954,0.224828,0.369004
2020-09,0.234902,0.16543,0.703339,28,0.239178,0.114965,0.124213,0.474304
2020-10,0.287767,0.162465,1.086252,27,0.287004,0.190518,0.096486,0.676489
2020-11,0.324577,0.227632,0.987349,9,0.323866,0.159081,0.164784,0.634298
2020-12,,,,0,,,,
2021-01,,,,0,,,,
2021-02,,,,0,,,,
2021-03,,,,0,,,,
2021-04,,,,0,,,,
2021-05,,,,0,,,,
2021-06,0.250585,0.202634,0.455994,10,0.252434,0.082107,0.170326,0.32596
2021-07,0.42115,0.33806,0.626415,28,0.423059,0.137723,0.285337,0.391794
2021-08,0.333684,0.250042,0.56871,31,0.334036,0.132039,0.201997,0.394587
2021-09,0.365374,0.316999,0.368209,22,0.366049,0.093308,0.272741,0.288042
2021-10,0.305447,0.220796,0.775366,22,0.304208,0.128162,0.176045,0.474746
2021-11,0.219642,0.109314,1.271231,19,0.218212,0.172034,0.046177,0.75795
2021-12,0.177067,0.102306,1.121692,21,0.17581,0.116816,0.058994,0.676498
2022-01,0.139645,0.059483,1.511048,12,0.138933,0.122364,0.016569,0.836688
2022-02,0.178169,0.080133,1.426174,18,0.175907,0.142094,0.033813,0.767275
2022-03,0.132111,0.072532,1.14389,3,0.130418,0.08353,0.046888,0.636622
2022-04,0.332223,0.284289,0.438652,23,0.340102,0.089444,0.250658,0.313375
2022-05,0.236791,0.209376,0.312193,24,0.237261,0.058633,0.178628,0.260119
2022-06,0.16489,0.133744,0.506003,28,0.165519,0.056509,0.10901,0.356257
2022-07,0.476721,0.441874,0.218397,31,0.477357,0.095058,0.382299,0.222984
2022-08,0.263567,0.230637,0.325545,29,0.264287,0.067547,0.19674,0.271599
2022-09,0.331447,0.281033,0.390069,30,0.331621,0.092165,0.239456,0.298089
2022-10,0.231085,0.177169,0.568156,24,0.251475,0.095858,0.155617,0.382903
2022-11,0.188875,0.100567,1.272787,18,0.187223,0.131988,0.055235,0.733448
2022-12,0.271917,0.139266,1.209899,8,0.263113,0.20859,0.054524,0.773761
2023-01,0.515182,0.241021,1.276549,6,,,,
2023-02,0.190893,0.098903,1.133052,8,,,,
2023-03,0.200932,0.119102,1.033472,22,,,,
2023-04,0.323487,0.261062,0.686591,23,,,,
2023-05,0.372921,0.291633,0.571243,26,,,,
2023-06,0.613111,0.52594,0.472232,30,,,,
2023-07,0.647498,0.578372,0.336288,31,,,,
2023-08,0.348935,0.293789,0.36595,28,,,,
2023-09,,,,0,,,,
2023-10,,,,0,,,,
2023-11,,,,0,,,,
2023-12,,,,0,,,,
2024-01,,,,0,,,,
2024-02,,,,0,,,,
2024-03,,,,0,,,,
2024-04,,,,0,,,,
2024-05,,,,0,,,,
2024-06,,,,0,,,,
2024-07,,,,0,,,,
2024-08,,,,0,,,,
2024-09,,,,0,,,,
2024-10,,,,0,,,,
2024-11,,,,0,,,,
2024-12,,,,0,,,,
2025-01,,,,0,,,,
2025-02,,,,0,,,,
2025-03,,,,0,,,,
2025-04,,,,0,,,,
2025-05,,,,0,,,,
2025-06,,,,0,,,,
2025-07,,,,0,,,,
2025-08,,,,0,,,,
2025-09,,,,0,,,,
2025-10,,,,0,,,,
