month,theta_gradient_med,theta_gradient_iqr,rh_850_med,height_diff_med,soundings,AOD_500nm,AOD_870nm,AE_440_870,obs_days,Total_AOD_500nm[tau_a],Fine_Mode_AOD_500nm[tau_f],Coarse_Mode_AOD_500nm[tau_c],FineModeFraction_500nm[eta]
2010-07,9.449785506261037,3.9440966670420607,70.0,2368.0,65,0.274226,0.213953,0.531175,27,0.277313,0.098392,0.178921,0.368267
2010-08,9.843838983516548,3.0421017468687523,78.3,2356.0,65,0.47034,0.389411,0.476961,24,0.350614,0.12172,0.228894,0.358619
2010-09,9.876446425246172,6.651141958606374,60.6,2339.0,64,0.234899,0.169284,0.758553,28,0.235283,0.096488,0.138794,0.455413
2010-10,11.79637727037499,5.300728243578533,58.3,2285.0,61,0.358978,0.309412,0.414574,25,0.359424,0.091416,0.268009,0.318977
2010-11,15.332534625926144,5.642167978403819,58.2,2255.0,60,0.286302,0.141943,1.200448,26,0.283441,0.212953,0.070488,0.715851
2010-12,15.16560468676505,5.27069946708076,71.0,2163.0,65,0.316746,0.186193,0.917567,18,0.314796,0.203374,0.111422,0.603449
2011-01,15.469707880465592,6.874227441430264,67.5,2169.0,63,0.264088,0.129864,1.242381,17,0.262736,0.202292,0.060444,0.744869
2011-02,15.503570643326725,4.691797587100666,53.650000000000006,2208.0,57,0.188816,0.084989,1.362765,7,0.18814,0.154201,0.033939,0.788422
2011-03,14.405804305657199,5.094345340613486,58.2,2218.0,60,0.245218,0.143391,0.837488,10,0.245221,0.156887,0.088334,0.540978
2011-04,11.106686290134292,7.870600280603298,66.55,2269.0,61,,,,0,,,,
2011-05,8.613667141597375,3.9563963441209467,68.3,2308.0,65,,,,0,,,,
2011-06,8.831790084044371,4.184444367321646,65.0,2343.0,61,0.271853,0.203361,0.593972,5,0.255597,0.092381,0.163215,0.375368
2011-07,9.286027881413276,3.57077918550614,69.5,2364.0,64,0.337169,0.257182,0.526847,17,0.328584,0.108776,0.219808,0.339148
2011-08,9.077295114787972,4.998978322493699,69.8,2351.0,72,0.468571,0.396668,0.45032,30,0.46866,0.129395,0.339266,0.325698
2011-09,11.043193609769617,3.337188424931526,81.5,2336.5,62,0.279322,0.215713,0.554325,29,0.278914,0.098489,0.180425,0.372358
2011-10,11.81463199590604,5.488856421012173,73.35,2280.5,62,0.309706,0.234534,0.746082,18,0.30794,0.116117,0.191823,0.461855
2011-11,13.767170282764425,5.731155125957997,44.5,2283.0,59,0.210643,0.091554,1.402579,12,0.208372,0.182346,0.026025,0.832556
2011-12,15.636705842595603,6.206459755071734,51.5,2238.5,62,0.278157,0.124628,1.426854,13,0.275263,0.246613,0.02865,0.88659
2012-01,14.788414567971188,6.278977763748458,59.6,2215.0,62,0.23578,0.099339,1.511818,20,0.233474,0.210481,0.022992,0.902028
2012-02,13.243027153435264,6.905706329146483,57.2,2215.0,58,0.187923,0.083261,1.351495,10,0.184953,0.162446,0.022507,0.851374
2012-03,10.112366490081058,4.813552168454635,61.4,2287.0,61,0.218358,0.132407,0.983227,5,0.215771,0.131963,0.083808,0.628918
2012-04,10.42175322228158,8.140469468711899,49.7,2254.0,58,0.15274,0.088781,1.025109,14,0.151367,0.091719,0.059648,0.601446
2012-05,9.417644946494505,2.796066450603007,69.15,2315.5,64,0.158401,0.102385,0.918752,19,0.157644,0.082657,0.074987,0.551387
2012-06,7.8907750705457715,5.411706707983626,62.3,2327.0,63,0.201675,0.133906,0.875156,29,0.200615,0.095322,0.105293,0.498681
2012-07,7.648442354115446,2.914785550114175,71.2,2366.0,67,0.316397,0.219693,0.773356,29,0.315164,0.142486,0.172677,0.472858
2012-08,8.141437431753445,3.0198500832816535,75.55000000000001,2343.5,62,0.300671,0.228094,0.611448,30,0.300328,0.110638,0.189689,0.391354
2012-09,10.947823182694435,6.482090957356604,74.4,2325.0,61,0.34943,0.285511,0.47014,27,0.348982,0.105929,0.243054,0.333438
2012-10,14.202890541546196,4.986836015062181,72.19999999999999,2291.0,73,,,,0,,,,
2012-11,15.130944205915625,6.488508248362038,33.15,2229.0,58,,,,0,,,,
2012-12,15.217586129219399,9.212913152425585,66.6,2240.5,60,0.184012,0.085011,1.451722,15,0.181748,0.15072,0.031028,0.825317
2013-01,17.147237986194853,8.239918357763173,61.1,2226.0,63,0.248495,0.127868,1.245625,20,0.243842,0.188382,0.05546,0.758765
2013-02,16.08221513619307,9.163408340749797,71.95,2196.0,56,0.171077,0.073758,1.514295,11,0.168612,0.144168,0.024443,0.844846
2013-03,12.31689048224763,7.003558026410133,73.25,2181.5,62,0.184485,0.125333,0.857336,15,0.183492,0.089921,0.093571,0.526295
2013-04,10.012296335685136,6.443401700056469,53.55,2260.0,60,0.185101,0.119878,0.914705,16,0.184564,0.096936,0.087628,0.550563
2013-05,9.569102894263438,4.529552670498049,59.4,2285.0,61,0.188042,0.134125,0.850442,25,0.188183,0.082144,0.10604,0.490318
2013-06,9.154148003275907,4.285370983854989,66.05000000000001,2339.0,61,0.263456,0.203324,0.583357,26,0.264525,0.095772,0.168753,0.374347
2013-07,9.840598646234241,2.6881288939829346,70.95,2358.5,62,0.263039,0.19057,0.717403,30,0.263486,0.108364,0.155122,0.431605
2013-08,10.303963806368756,3.3446187834126277,74.5,2340.5,62,0.334899,0.238505,0.722889,27,0.335763,0.142757,0.193005,0.441221
2013-09,13.265972327467267,6.420252457117471,74.65,2319.5,60,0.277817,0.212221,0.606609,30,0.279176,0.10258,0.176595,0.389213
2013-10,12.682501340162077,5.1591907371533665,70.0,2306.0,62,0.252227,0.174645,0.789221,27,0.252556,0.118901,0.133655,0.487783
2013-11,15.833070909173045,8.23436216830504,63.6,2237.0,59,0.250097,0.11859,1.327306,19,0.248748,0.202695,0.046052,0.770294
2013-12,14.456335636892902,7.0650363185495735,67.9,2220.0,63,0.1393,0.066274,1.306804,6,0.139191,0.108556,0.030634,0.748664
2014-01,16.35860540557178,8.874845161410462,52.7,2183.0,61,,,,0,,,,
2014-02,17.22224190447008,7.524363423413504,60.0,2186.0,58,,,,0,,,,
2014-03,13.98926325751296,9.014334268125737,48.75,2218.0,63,0.168885,0.103964,1.016712,9,0.169791,0.099921,0.069869,0.607076
2014-04,12.941366579028852,7.64334997539072,45.3,2282.0,61,0.156716,0.086951,1.102468,9,0.157501,0.103612,0.053889,0.631828
2014-05,7.929795163871006,6.591445868874729,61.1,2304.0,63,,,,0,,,,
2014-06,10.400063928463112,3.3475282846697496,74.2,2339.0,61,0.241073,0.171371,0.74447,6,0.244144,0.105193,0.138951,0.435554
2014-07,9.716191950736743,3.469356314935112,68.1,2335.0,63,0.415941,0.343648,0.501677,22,0.418413,0.126007,0.292406,0.341154
2014-08,10.935718295702742,4.002398005458289,75.1,2334.0,62,0.314151,0.24583,0.547001,31,0.316236,0.110709,0.205527,0.366321
2014-09,13.1625006129469,5.315674608858231,74.25,2325.0,60,0.349096,0.27785,0.547355,28,0.350436,0.116216,0.23422,0.363346
2014-10,12.060137026649727,5.175066226949525,69.2,2288.0,61,0.306217,0.196761,0.89188,24,0.305523,0.162133,0.14339,0.542248
2014-11,14.231527950974368,6.145015474416695,60.1,2234.0,60,0.282229,0.127812,1.418564,15,0.281188,0.251703,0.029485,0.851321
2014-12,17.790104854445246,6.818071897767538,63.4,2236.0,61,0.153553,0.065714,1.402901,20,0.151476,0.134311,0.017165,0.834383
2015-01,16.194915803692965,8.02625706224552,65.4,2193.5,62,,,,0,,,,
2015-02,15.700198522960335,6.493733601795071,54.75,2155.5,56,,,,0,,,,
2015-03,14.250775184580846,7.39748009713756,58.55,2219.0,62,,,,0,,,,
2015-04,9.60131147699903,7.153629246519628,58.1,2271.5,60,0.156861,0.121301,0.628416,21,0.157167,0.058192,0.098975,0.416694
2015-05,8.603216434731308,4.223663890143996,64.95,2323.0,62,0.187054,0.13458,0.710364,25,0.187716,0.078768,0.108948,0.437294
2015-06,9.367775287309087,4.703001935118152,72.94999999999999,2346.0,64,0.258187,0.196323,0.693779,29,0.258911,0.096493,0.162418,0.416611
2015-07,10.399402256412941,3.6337756118331868,74.2,2347.0,63,0.439157,0.368761,0.546418,13,0.440314,0.125985,0.31433,0.356054
2015-08,9.631204207558682,4.605150237854559,67.15,2340.0,62,,,,0,,,,
2015-09,12.195918914119545,5.060249136770764,66.0,2337.5,60,0.238601,0.1669,0.693391,22,0.238792,0.104093,0.134699,0.429435
2015-10,14.686096584368386,8.276953434937582,64.5,2305.0,65,0.247278,0.166489,0.882321,25,0.246828,0.123053,0.123774,0.528482
2015-11,14.313275356870179,5.7535112903187695,55.25,2279.5,60,0.18369,0.088939,1.286208,10,0.182563,0.150933,0.03163,0.784814
2015-12,14.765596161057317,6.478782597105237,67.94999999999999,2287.0,61,0.193649,0.081963,1.472246,17,0.191976,0.173133,0.018843,0.881314
2016-01,17.30398931036592,8.019542946699318,51.8,2186.5,68,0.151707,0.07704,1.159736,16,0.150702,0.118671,0.032031,0.68838
2016-02,13.85388022903723,7.28514427714731,68.8,2202.0,58,0.150883,0.080689,1.103151,24,0.149938,0.107743,0.042195,0.669675
2016-03,12.316197498689263,4.987565710081455,61.5,2263.5,62,0.249292,0.148694,0.954137,15,0.247606,0.153151,0.094455,0.596036
2016-04,11.365950387995326,8.240414611800759,53.05,2275.5,60,0.197535,0.121114,0.914267,21,0.196964,0.110761,0.086204,0.539856
2016-05,10.403372288714422,4.300317349134787,73.6,2290.0,61,0.199758,0.145814,0.666703,23,0.200471,0.08203,0.118441,0.412976
2016-06,9.914211197439954,2.955459823565093,64.8,2336.0,59,0.287438,0.233272,0.499025,28,0.28907,0.092314,0.196756,0.340399
2016-07,8.96691029946399,3.1856876530037965,67.30000000000001,2360.0,62,0.477653,0.418,0.465991,25,0.385491,0.112024,0.273467,0.337533
2016-08,10.200721337659502,3.0116787507869134,72.3,2362.5,62,0.281901,0.210682,0.583031,24,0.28275,0.10948,0.17327,0.384655
2016-09,11.190681525237096,3.25605986692716,73.4,2343.0,59,0.280421,0.207675,0.599717,28,0.280865,0.110314,0.170551,0.388621
2016-10,13.936484097070434,8.230790994997676,63.6,2309.0,73,0.380685,0.283512,0.77168,23,0.379654,0.151427,0.228228,0.47498
2016-11,14.00983383521995,7.652311920143788,54.900000000000006,2261.0,60,0.249361,0.146165,0.942473,14,0.246097,0.152599,0.093498,0.585672
2016-12,15.877384378900274,8.085414862798984,51.3,2225.0,61,,,,0,,,,
2017-01,17.04968775288191,7.777083463150859,66.6,2235.0,64,,,,0,,,,
2017-02,11.496244108976043,5.847825825759514,56.8,2223.0,53,,,,0,,,,
2017-03,13.148250375441393,6.3083154961212955,70.3,2227.0,62,,,,0,,,,
2017-04,10.467127782135265,6.59677664100721,64.8,2294.0,59,0.196407,0.142407,0.678609,16,0.19733,0.085098,0.112232,0.434539
2017-05,11.16660779719166,5.472620723116393,73.0,2302.0,63,0.219536,0.174603,0.602717,27,0.220878,0.075108,0.145769,0.380479
2017-06,7.757172989313801,4.741856610430716,62.1,2332.0,61,0.286395,0.227352,0.546337,27,0.287808,0.097092,0.190715,0.357356
2017-07,8.387273298522217,4.384711443231666,70.45,2355.5,64,0.323426,0.236575,0.710142,27,0.324939,0.130099,0.19484,0.424297
2017-08,9.334574196498153,3.8789498065517307,70.80000000000001,2339.0,60,0.292961,0.219123,0.584885,23,0.294158,0.113429,0.180729,0.382402
2017-09,10.050323920934943,3.973327725551542,63.1,2327.0,77,0.301348,0.212272,0.678068,23,0.301607,0.131183,0.170424,0.43645
2017-10,14.639866121459391,5.521497874226455,62.3,2321.5,60,0.429063,0.339502,0.594763,28,0.377127,0.145736,0.231391,0.413386
2017-11,16.34524519744855,7.385277815102299,63.2,2245.5,56,0.383704,0.236105,0.914496,21,0.382489,0.24086,0.14163,0.614148
2017-12,16.179502556450075,5.620439474608986,62.1,2207.0,61,0.331295,0.191214,1.078478,18,0.329625,0.227438,0.102187,0.705102
2018-01,14.56440460004103,8.845478056963032,53.8,2191.0,61,0.340561,0.172429,1.177333,19,0.340071,0.273545,0.066527,0.744165
2018-02,14.997147334596491,7.67327671743503,60.45,2239.5,50,0.242599,0.118652,1.317785,8,0.240709,0.187432,0.053278,0.802997
2018-03,12.940179280866289,7.637336255600701,56.0,2183.0,59,0.252229,0.171327,0.811527,13,0.251723,0.123621,0.128103,0.509152
2018-04,10.983670961706366,6.392938391789841,53.8,2240.0,55,0.486093,0.413336,0.504286,7,0.486348,0.14092,0.345429,0.367848
2018-05,9.897279816009302,4.672282114495658,63.25,2332.0,61,,,,0,,,,
2018-06,11.400075963912599,3.529706053061176,74.85,2341.5,58,,,,0,,,,
2018-07,10.569377742769063,3.0577097841988916,71.3,2351.0,61,,,,0,,,,
2018-08,9.46189039325273,3.0222268526965195,72.8,2355.5,56,,,,0,,,,
2018-09,12.132426233754813,3.507417911669549,84.5,2349.0,70,,,,0,,,,
2018-10,13.506057214690827,6.640360415715207,65.9,2285.0,59,,,,0,,,,
2018-11,16.0157449316022,8.74293591119853,65.80000000000001,2239.0,56,,,,0,,,,
2018-12,16.011181250219494,5.581881623836935,68.2,2221.5,60,,,,0,,,,
2019-01,17.566094886515003,5.220168135845142,71.1,2198.0,60,0.17234,0.08464,1.220915,10,0.168597,0.133139,0.035458,0.772443
2019-02,17.089301495288368,8.72315841206985,48.55,2234.0,50,0.176987,0.075984,1.482502,10,0.173609,0.151048,0.022561,0.854979
2019-03,13.39203320309042,5.364814573024461,53.8,2216.0,59,0.22913,0.140722,1.064616,17,0.226187,0.130384,0.095803,0.633567
2019-04,9.972877383365756,5.653708588388881,59.3,2278.0,56,0.20303,0.119504,1.041565,13,0.201823,0.122326,0.079498,0.616887
2019-05,8.487606265974307,4.611499505891032,69.95,2324.0,62,0.15963,0.086484,1.126224,16,0.160273,0.104193,0.056079,0.634347
2019-06,9.247932273194408,4.145356251027408,64.65,2337.5,60,0.244441,0.172975,0.758725,12,0.247468,0.108836,0.138632,0.469709
2019-07,8.531520876707418,4.343969146811787,70.05000000000001,2365.0,61,0.316562,0.223656,0.759182,31,0.319983,0.139752,0.180231,0.46337
2019-08,9.183447084754334,4.4680450062841714,70.6,2350.0,62,0.369432,0.27455,0.646627,30,0.372203,0.149161,0.223042,0.427527
2019-09,10.774539336086946,4.865338820821876,69.30000000000001,2342.0,67,0.395291,0.314361,0.566034,28,0.398814,0.136039,0.262775,0.387937
2019-10,14.383248711799467,5.350695297807405,62.6,2302.5,58,0.264023,0.156249,1.005043,29,0.264547,0.161713,0.102835,0.620912
2019-11,16.72792348273157,8.671902025224867,42.7,2239.0,56,0.517308,0.241124,1.412341,20,0.499667,0.479884,0.019783,0.946977
2019-12,15.394042290140078,8.235354676380354,66.4,2232.0,59,0.218863,0.103973,1.308723,16,0.218352,0.192197,0.026155,0.833106
2020-01,15.736639951053519,4.336826800197059,64.8,2205.0,55,0.250187,0.100388,1.577505,11,0.208497,0.195374,0.013123,0.924074
2020-02,11.925084834199055,5.141135441119317,71.9,2219.5,56,0.162197,0.077939,1.368412,13,0.163842,0.12858,0.035263,0.796987
2020-03,13.264386170310672,8.028276089880649,62.65,2252.0,57,0.193794,0.098944,1.159764,12,0.19608,0.144356,0.051724,0.683049
2020-04,9.52154908725393,5.426555678219941,61.1,2242.5,58,0.159147,0.095105,1.087253,17,0.163164,0.100856,0.062307,0.623252
2020-05,10.659658862349175,6.446904850394887,61.6,2300.0,62,0.155121,0.107888,0.862418,28,0.160382,0.075675,0.084708,0.506223
2020-06,9.054544730843077,3.8088651593572536,63.25,2331.0,57,0.20852,0.143338,0.798084,26,0.214156,0.09672,0.117436,0.462139
2020-07,7.841829896466777,3.165515934290795,69.7,2366.0,59,0.207139,0.138772,0.900494,28,0.223176,0.109917,0.113259,0.506969
2020-08,9.453755538562575,2.9815185677611566,75.2,2354.0,67,0.335282,0.265693,0.550268,30,0.345783,0.120954,0.224828,0.369004
2020-09,13.333435040133566,4.687890151825741,72.6,2331.0,63,0.234902,0.16543,0.703339,28,0.239178,0.114965,0.124213,0.474304
2020-10,13.862209873814464,4.264007327569715,66.4,2308.5,60,0.287767,0.162465,1.086252,27,0.287004,0.190518,0.096486,0.676489
2020-11,14.253467686703459,3.9073244029237912,54.7,2274.0,59,0.324577,0.227632,0.987349,9,0.323866,0.159081,0.164784,0.634298
2020-12,16.651401430268777,8.061808016716796,70.3,2210.5,58,,,,0,,,,
2021-01,15.630556004056132,6.927269414928901,69.65,2193.0,59,,,,0,,,,
2021-02,17.564839565383522,7.188713319027727,71.3,2210.0,53,,,,0,,,,
2021-03,11.988246678538644,6.004241674495404,49.3,2242.0,60,,,,0,,,,
2021-04,8.412212767524892,6.340193242831816,60.2,2255.5,56,,,,0,,,,
2021-05,7.9799276361125635,6.274019862781557,63.55,2279.0,59,,,,0,,,,
2021-06,9.795029855375503,4.045023283575404,71.3,2345.0,57,0.250585,0.202634,0.455994,10,0.252434,0.082107,0.170326,0.32596
2021-07,8.313397934260479,2.1638497187157952,68.7,2354.0,59,0.42115,0.33806,0.626415,28,0.423059,0.137723,0.285337,0.391794
2021-08,8.780995939752586,2.9645871863305615,68.5,2357.0,69,0.333684,0.250042,0.56871,31,0.334036,0.132039,0.201997,0.394587
2021-09,11.31766688596656,4.545822379878473,67.8,2338.0,57,0.365374,0.316999,0.368209,22,0.366049,0.093308,0.272741,0.288042
2021-10,11.51251381835641,5.067522889913619,76.69999999999999,2312.0,61,0.305447,0.220796,0.775366,22,0.304208,0.128162,0.176045,0.474746
2021-11,13.407047591339222,5.013157572314412,,2244.5,52,0.219642,0.109314,1.271231,19,0.218212,0.172034,0.046177,0.75795
2021-12,15.596625218225995,6.334802471386169,55.6,2258.5,58,0.177067,0.102306,1.121692,21,0.17581,0.116816,0.058994,0.676498
2022-01,14.785903925708226,8.29140818558966,56.6,2181.5,74,0.139645,0.059483,1.511048,12,0.138933,0.122364,0.016569,0.836688
2022-02,14.504813929008776,9.027791871292493,66.1,2214.5,58,0.178169,0.080133,1.426174,18,0.175907,0.142094,0.033813,0.767275
2022-03,12.741498362112964,7.798709932492329,62.6,2230.0,35,0.132111,0.072532,1.14389,3,0.130418,0.08353,0.046888,0.636622
2022-04,10.597752339141124,8.661582724886898,56.7,2275.0,46,0.332223,0.284289,0.438652,23,0.340102,0.089444,0.250658,0.313375
2022-05,11.277323448540812,6.342805919548283,78.8,2311.0,63,0.236791,0.209376,0.312193,24,0.237261,0.058633,0.178628,0.260119
2022-06,9.627302198226204,3.93480388626395,67.1,2336.5,58,0.16489,0.133744,0.506003,28,0.165519,0.056509,0.10901,0.356257
2022-07,9.136554949795027,3.8262386690781796,72.75,2359.0,61,0.476721,0.441874,0.218397,31,0.477357,0.095058,0.382299,0.222984
2022-08,8.872133521470118,2.5816460879914302,78.2,2349.0,61,0.263567,0.230637,0.325545,29,0.264287,0.067547,0.19674,0.271599
2022-09,11.268857757825515,4.542869163946989,70.2,2328.0,71,0.331447,0.281033,0.390069,30,0.331621,0.092165,0.239456,0.298089
2022-10,14.178155141450532,5.704668150693266,64.80000000000001,2283.0,62,0.231085,0.177169,0.568156,24,0.251475,0.095858,0.155617,0.382903
2022-11,14.47577766058646,7.241199422564023,67.1,2279.0,57,0.188875,0.100567,1.272787,18,0.187223,0.131988,0.055235,0.733448
2022-12,17.00147227382209,5.353846433197319,71.9,2221.0,58,0.271917,0.139266,1.209899,8,0.263113,0.20859,0.054524,0.773761
2023-01,13.349704749513876,6.222598057923946,72.30000000000001,2227.5,62,0.515182,0.241021,1.276549,6,,,,
2023-02,15.212691611811465,8.20000315140615,47.7,2243.0,58,0.190893,0.098903,1.133052,8,,,,
2023-03,12.290432879057335,6.940430193555031,56.8,2222.5,62,0.200932,0.119102,1.033472,22,,,,
2023-04,8.200697266760642,6.3949234079406665,54.3,2282.0,61,0.323487,0.261062,0.686591,23,,,,
2023-05,10.010311319534338,4.677604862972274,66.35,2289.0,60,0.372921,0.291633,0.571243,26,,,,
2023-06,8.311412918109681,4.813552168454692,66.4,2324.0,59,0.613111,0.52594,0.472232,30,,,,
2023-07,8.329005971590504,2.037195194011474,71.44999999999999,2358.0,61,0.647498,0.578372,0.336288,31,,,,
2023-08,10.788824029316572,4.270025759581046,71.6,2348.0,63,0.348935,0.293789,0.36595,28,,,,
2023-09,11.982953302136593,6.08797409654197,73.5,2322.5,68,,,,0,,,,
2023-10,10.94980819884529,4.039014785391316,76.4,2299.0,59,,,,0,,,,
2023-11,14.497272723399817,6.54088854981039,51.3,2251.0,58,,,,0,,,,
2023-12,13.307593536447968,4.175117575059062,73.8,2243.5,62,,,,0,,,,
2024-01,15.587565878429416,6.565755356434124,81.5,2205.0,59,,,,0,,,,
2024-02,15.192519893098591,6.269952435436423,44.75,2220.5,58,,,,0,,,,
2024-03,14.248527355373938,6.732227692451943,58.55,2251.5,57,,,,0,,,,
2024-04,9.98299725420668,6.1478615921149355,70.30000000000001,2280.0,60,,,,0,,,,
2024-05,9.45309386651229,6.015154623914725,75.95,2315.0,61,,,,0,,,,
2024-06,9.39548821163089,3.776237603364791,68.0,2345.0,60,,,,0,,,,
2024-07,8.550437274288754,4.118083210093744,74.9,2360.0,61,,,,0,,,,
2024-08,9.206265491668205,4.694370826390212,73.55,2357.0,67,,,,0,,,,
2024-09,12.487391594716087,3.5936949874635786,78.3,2332.0,59,,,,0,,,,
2024-10,13.139586476583531,6.46793767065499,55.05,2313.0,60,,,,0,,,,
2024-11,15.385245763399666,7.195558841101956,61.900000000000006,2284.5,60,,,,0,,,,
2024-12,14.557262253426188,9.185759865700504,74.35,2222.0,59,,,,0,,,,
2025-01,14.849727442098072,7.587924126747282,63.8,2160.0,61,,,,0,,,,
2025-02,17.071844487745466,8.383173427872919,63.949999999999996,2209.0,53,,,,0,,,,
2025-03,11.320644410192614,8.133246460450891,50.6,2244.0,62,,,,0,,,,
2025-04,10.747157247790312,5.9419637391485765,65.3,2297.0,59,,,,0,,,,
2025-05,9.049056564353918,4.883890370893624,70.45,2304.0,56,,,,0,,,,
2025-06,9.425050106165429,3.9382776645277886,73.5,2354.0,61,,,,0,,,,
2025-07,9.60415295528719,2.590773450756899,80.1,2369.0,57,,,,0,,,,
2025-08,11.679774593542533,4.945928300629703,75.95,2339.0,62,,,,0,,,,
2025-09,9.896948979984188,4.073033032437863,72.4,2329.0,66,,,,0,,,,
2025-10,14.743439426193703,5.461114124615932,62.2,2302.0,46,,,,0,,,,
