Brood_ID,Year,Block,Species,Treatment,Initiation,Avrg_Brood,Site,Nest,Fate,Avrg_Mass,Avrg_Baseline,Avrg_Induced,Feeding_Rate,PC_Feeding_Rate,Video_time,d9_Brood,Measure_time
2015SF1428,2015,1,TRES,enlarged,123,7.8,SF,1428,survived,20.97,10.96655,33.86445,17,2.125,,8,1431
2015GR1028,2015,2,TRES,enlarged,122,7.8,GR,1028,survived,19.49,6.09375,12.67925,22,3.1429,,7,1323
2015SF1462,2015,2,TRES,reduced,123,4,SF,1462,survived,21.3,5.8115,14.8085,11,2.75,,4,1114
2015GR1003,2015,3,TRES,reduced,126,4.2,GR,1003,survived,21.77,3.97795,24.06345,13,3.25,,4,1109
2015SF1489,2015,3,TRES,enlarged,126,4,SF,1489,survived,19.94,12.5396,35.03365,7,1.75,,4,1202
2015SF1407,2015,3,TRES,control,129,5.6,SF,1407,survived,21.14,9.7476,18.5894,13,2.1667,,6,
2015SF1458,2015,3,TRES,control,124,4,SF,1458,survived,20.49,3.712,17.3117,14,3.5,,4,
2015SF1417,2015,4,TRES,control,124,2,SF,1417,survived,22.57,5.65955,10.7737,12,6,1617,2,1357
2015SF1461,2015,4,TRES,control,125,4,SF,1461,survived,20.63,4.9229,10.5093,29,7.25,1631,4,1515
2015SF1482,2015,4,TRES,reduced,127,5,SF,1482,survived,21.68,5.4091,15.15995,4,0.8,,5,1230
2015SF1478,2015,4,TRES,enlarged,127,7.8,SF,1478,survived,15.99,19.86775,30.3626,26,3.25,,8,1255
2015SF1435,2015,4,TRES,enlarged,128,7.2,SF,1435,survived,17.16,11.3374,42.39645,18,2.5714,,7,1232
2015SF1402,2015,4,TRES,reduced,123,3,SF,1402,survived,21.33,6.1266,12.7813,27,9,,3,1330
2015GR1005,2015,5,TRES,enlarged,123,7.4,GR,1005,survived,15.72,,,21,2.625,,8,828
2015SF1479,2015,5,TRES,reduced,127,3,SF,1479,survived,20.33,6.0675,18.3956,21,7,,3,1208
2015SF1469,2015,5,TRES,control,132,5,SF,1469,survived,21.09,2.44295,8.6337,12,2.4,,5,1243
2015NCA16A,2015,5,TRES,control,132,5,NCA,16A,survived,18.335,5.17855,7.9975,12,2.4,,5,1035
2015SF1444,2015,5,TRES,reduced,133,3,SF,1444,survived,23,4.6337,17.1459,21,7,1047,3,755
2015GR1009,2015,5,TRES,enlarged,131,5.2,GR,1009,survived,20.33,6.981,31.4636,17,3.4,1031,5,659
2015SF1486,2015,6,VGSW,control,142,6,SF,1486,survived,19.94,4.2626,16.4191,,0,,,1027
2015SF1450,2015,6,TRES,enlarged,143,7.8,SF,1450,survived,20.88,12.1886,22.8012,2,0.25,,8,1134
2015SF1442,2015,6,VGSW,control,144,3.8,SF,1442,survived,20.13,0.5365,43.056,,0,,,1005
2015GR1034,2015,6,VGSW,enlarged,145,5,GR,1034,survived,18.7,9.5153,51.9739,33.5,6.7,1230,5,1119
2015NCA17,2015,6,VGSW,reduced,145,3,NCA,17,survived,21.01,9.2817,17.3278,16.3,5.4333,1250,3,1007
2015SF1401,2015,6,VGSW,enlarged,145,7.2,SF,1401,survived,17.71,12.4732,52.1738,26.9,3.3625,1240,8,1223
2015SF1490,2015,6,VGSW,reduced,146,4,SF,1490,survived,19.81,5.5735,20.394,24,6,1249,4,1154
2015SF1441,2015,7,VGSW,control,147,5,SF,1441,survived,17.46,1.0097,20.6024,36.6,5.32,,7,840
2015SF1434,2015,7,VGSW,control,150,4,SF,1434,survived,18.02,5.7284,15.2155,33.5,8.375,,4,904
2015SF1439,2015,7,VGSW,reduced,145,2.8,SF,1439,survived,19.32,1.3705,31.2606,21.7,7.2333,1307,3,1039
2015SF1485,2015,7,VGSW,enlarged,150,5.8,SF,1485,survived,15.29,7.5049,47.2956,23.5,4.7,1318,5,1018
2015NCA21,2015,7,VGSW,reduced,148,3,NCA,21,survived,19.83,7.5049,47.2956,16.4,5.4667,,3,934
2015SCA13,2015,7,VGSW,enlarged,148,6,SCA,13,deceased,,,,30.2,,,,
2015SF1443,2015,8,VGSW,reduced,149,3,SF,1443,survived,19.02,7.0589,21.0545,,0,,,932
2015SF1460,2015,8,VGSW,enlarged,154,4,SF,1460,survived,17.22,9.2434,41.1605,26.7,6.675,,4,953
2016SF1435,2016,1,TRES,reduced,112,3,SF,1435,survived,23.21,8.5232,21.5618,8.5,2.8333,,3,1329
2016GR1028,2016,1,TRES,enlarged,116,5.4,GR,1028,survived,16.01,6.6611,39.9029,11,2.2,,5,1220
2016SF1459,2016,1,TRES,control,118,6,SF,1459,survived,13.16,4.8405,11.8271,6,1,,6,1144
2016SCA1,2016,1,TRES,control,120,5,SCA,1,deceased,,,,24,,,,
2016NCA13,2016,1,TRES,enlarged,122,6.4,NCA,13,survived,21.39,8.7436,28.3437,34,5.6667,1156,6,1243
2016SF1416,2016,1,TRES,reduced,123,3,SF,1416,survived,21.81,6.5872,12.8327,21,7,1208,3,825
2016SF1489,2016,2,TRES,enlarged,122,7.4,SF,1489,survived,19.88,9.6309,25.2206,30,4.2857,1220,7,1243
2016SF1476,2016,2,TRES,reduced,122,3,SF,1476,survived,,,,14,4.6667,1235,3,1243
2016SF1461,2016,2,TRES,control,122,4.8,SF,1461,survived,19.65,3.2288,23.4781,29,6.604175,1247,4,1135
2016SF1466,2016,2,TRES,control,123,5,SF,1466,survived,19.79,7.2107,16.4613,17,3.4,1240,5,1103
2016SF1428,2016,2,TRES,enlarged,125,4,SF,1428,survived,20.89,20.6391,24.313,25,6.25,1307,4,855
2016SF1446,2016,2,TRES,reduced,123,3,SF,1446,survived,21.18,2.1151,23.6633,16,5.3333,1302,3,804
2016SF1447,2016,3,TRES,control,125,4,SF,1447,survived,18.8,2.3933,18.1438,25,6.25,1642,4,1037
2016SF1443,2016,3,TRES,control,124,2,SF,1443,survived,19.44,6.006,15.1481,14,7,1637,2,952
2016GR1012,2016,3,TRES,reduced,122,4,GR,1012,survived,21.29,5.5641,17.9562,25,6.25,1105,4,1120
2016SF1453,2016,3,TRES,enlarged,124,6.4,SF,1453,survived,18.74,20.2483,45.647,33,5.5,1129,6,1018
2016SF1407,2016,3,TRES,reduced,124,1,SF,1407,survived,23.46,6.4905,20.697,13,13,1348,1,1243
2016SF1418,2016,3,TRES,enlarged,123,4,SF,1418,survived,18.65,13.8805,36.7561,27,5.4,1341,5,813
2016SF1481,2016,4,TRES,reduced,125,3,SF,1481,survived,21.83,4.2121,14.4538,21,7,1649,3,1243
2016SCA13,2016,4,TRES,enlarged,124,7,SCA,13,deceased,,,,34,,,,
2016SF1436,2016,4,TRES,enlarged,124,7,SF,1436,survived,19.3,,,40,5.7143,1404,7,928
2016SF1429,2016,4,TRES,reduced,125,2,SF,1429,survived,20.75,9.6183,12.0459,15,7.5,1357,2,904
2016SF1454,2016,4,TRES,control,126,5,SF,1454,deceased,,,,19,,,,
2016SF1468,2016,4,TRES,control,127,5,SF,1468,survived,22.59,8.563,28.6299,,,,,1417
2016SF1424,2016,5,TRES,control,125,2.6,SF,1424,deceased,,,,7,,,,
2016SF1401,2016,5,TRES,control,127,3,SF,1401,survived,23.6,6.4223,21.0273,11,3.6667,,3,1518
2016SCA11,2016,5,TRES,reduced,124,5,SCA,11,deceased,,,,,,,,
2016GR1007,2016,5,TRES,enlarged,125,6.4,GR,1007,survived,22.32,,,32,5.3333,,6,1359
2016SF1420,2016,5,TRES,enlarged,126,6,SF,1420,survived,20.06,18.1828,18.3113,19,3.1667,1215,6,1058
2016SF1482,2016,5,TRES,reduced,126,5,SF,1482,deceased,,,,15,,1224,,
2016GR1015,2016,6,TRES,reduced,126,4,GR,1015,survived,19.2,,,16,4,814,4,1128
2016GR1017,2016,6,TRES,enlarged,126,6.8,GR,1017,survived,16.28,,,23,2.875,820,8,1203
2016SF1426,2016,6,TRES,reduced,128,3,SF,1426,survived,18.17,2.4327,10.7245,12,4,1517,3,1030
2016SCA7,2016,6,TRES,enlarged,127,8,SCA,7,deceased,,,,,,,,
2016SF1464,2016,6,TRES,enlarged,130,5,SF,1464,survived,17.84,5.3019,14.6687,10,2,924,5,1250
2016SF1488,2016,6,TRES,control,129,4.2,SF,1488,survived,18.37,5.9116,13.233,16,4,930,4,1350
2016GR1008,2016,7,TRES,enlarged,127,6.8,GR,1008,survived,18.55,20.8255,33.3168,14,2,1146,7,1149
2016SF1411,2016,7,TRES,reduced,128,2,SF,1411,survived,,9.3427,13.6136,7,,1205,,1047
2016NCA16A,2016,7,TRES,enlarged,130,4,NCA,16A,survived,,10.0389,24.2878,13,,1113,,1042
2016NCA21,2016,7,TRES,reduced,128,3,NCA,21,survived,22.43,5.2773,14.4007,10,3.3333,1135,3,1106
2016GR1005,2016,7,TRES,control,125,4.4,GR,1005,survived,,2.1644,19.1553,21,,,,1511
2016SF1403,2016,7,TRES,control,130,5,SF,1403,deceased,,,,16,,,,
2016SF1478,2016,8,TRES,control,133,3.6,SF,1478,deceased,,,,4,,,,
2016SF1470,2016,8,TRES,control,131,2,SF,1470,survived,16.91,5.0618,21.1262,9,4.5,,2,1317
2016GR1035,2016,8,TRES,reduced,125,3,GR,1035,survived,15.98,,,5,1.6667,,3,1053
2016GR1006,2016,8,TRES,enlarged,133,7,GR,1006,deceased,,,,7,,,,
2016NCA16,2016,8,TRES,reduced,133,1,NCA,16,deceased,,,,9,,,,
2016SF1462,2016,8,TRES,enlarged,138,3,SF,1462,deceased,,,,,,,,
2016SF1404,2016,9,VGSW,enlarged,136,5.25,SF,1404,deceased,,,,48.7,,,,
2016SF1408,2016,9,VGSW,reduced,136,2,SF,1408,survived,19.38,6.3988,21.0495,20.5,10.25,,2,915
2016NCA25,2016,9,VGSW,enlarged,136,5,NCA,25,deceased,,,,20,,1005,,
2016SF1417,2016,9,VGSW,reduced,137,2,SF,1417,survived,16.89,4.7961,27.7604,12.9,6.45,1098,2,1100
2016SF1438,2016,9,VGSW,control,139,4,SF,1438,survived,15.39,2.814,7.928,11,2.75,1145,4,1029
2016SF1475,2016,9,VGSW,control,140,5,SF,1475,deceased,,,,,,,,
2016SF1433,2016,10,VGSW,reduced,142,3,SF,1433,survived,16.43,0.3227,24.9999,11.8,3.9333,732,3,819
2016GR1002,2016,10,VGSW,enlarged,143,6.2,GR,1002,deceased,,,,,,,,
2016SF1442,2016,10,VGSW,enlarged,142,6,SF,1442,survived,11.47,12.1514,36.738,11.2,1.8667,742,6,732
2016SF1463,2016,10,VGSW,reduced,142,1.2,SF,1463,survived,18.48,1.5859,32.1389,5.7,5.7,803,1,1048
2016GR1009,2016,10,TRES,control,139,6,GR,1009,survived,15.25,10.1564,25.8294,17,2.8333,738,6,1142
2016SF1473,2016,10,TRES,control,143,3.4,SF,1473,survived,16.06,4.9759,15.6892,12,6,802,2,1008
2016SF1441,2016,11,VGSW,reduced,143,4,SF,1441,survived,18.55,5.6982,25.965,12,4,1256,3,820
2016SF1414,2016,11,VGSW,enlarged,144,3.2,SF,1414,survived,17.2,2.9832,35.3331,12.2,2,1245,6,803
2016SF1412,2016,11,VGSW,enlarged,142,5.6,SF,1412,survived,19.95,6.1323,37.6154,25.9,5.18,1052,5,703
2016SF1413,2016,11,VGSW,reduced,144,3,SF,1413,survived,19.19,4.18,17.3915,33.6,11.2,1048,3,740
2016SF1471,2016,11,VGSW,control,143,3,SF,1471,survived,,3.2837,19.9364,38.3,,,,830
2016SF1486,2016,11,VGSW,control,143,5,SF,1486,survived,,3.7396,27.5991,47.9,,,,907
2016NCA14,2016,12,VGSW,enlarged,144,6.6,NCA,14,survived,19.59,16.5591,62.5262,47,7.8333,1022,6,1044
2016NCA25A,2016,12,VGSW,reduced,146,1.2,NCA,25A,survived,23.33,,,20.5,20.5,1012,1,1003
2016SF1467,2016,12,VGSW,reduced,143,3.4,SF,1467,survived,21.92,1.8327,15.5935,22.5,7.5,909,3,948
2016SF1460,2016,12,VGSW,enlarged,145,6.5,SF,1460,deceased,,,,26.8,,902,,
2016SF1450,2016,12,VGSW,control,145,2,SF,1450,survived,19.81,1.2865,26.8719,21.5,10.75,855,2,847
2016SF1431,2016,12,VGSW,control,146,4.2,SF,1431,survived,17.38,7.3922,20.0379,18.8,4.7,845,4,758
2016SF1427,2016,13,VGSW,reduced,146,2,SF,1427,survived,,1.7484,17.1035,4.9,,1604,,1005
2016SF1477,2016,13,VGSW,enlarged,146,3,SF,1477,survived,,13.6609,49.9907,5.3,,1615,,925
2016GR1021,2016,13,VGSW,enlarged,147,4,GR,1021,survived,,12.8387,45.9083,17.6,,1011,,1025
2016NCA23,2016,13,VGSW,reduced,149,3,NCA,23,survived,19.41,4.0198,15.7597,15.8,5.2667,956,3,1200
2016NCA17,2016,13,VGSW,control,148,6,NCA,17,deceased,,,,14.7,,,,
2016GR1027,2016,13,VGSW,control,148,5.8,GR,1027,survived,10.97,3.2142,27.4584,10.5,1.75,814,6,1006
2016SF1437,2016,14,VGSW,reduced,150,2,SF,1437,survived,,3.6296,15.052,,,,,909
2016SF1455,2016,14,VGSW,enlarged,150,6,SF,1455,deceased,,,,,,,,
2016SF1434,2016,14,VGSW,enlarged,151,7,SF,1434,survived,16.73,13.5866,55.078,17,2.4286,1332,7,714
2016GR1030,2016,14,VGSW,reduced,151,2,GR,1030,survived,17.63,10.0126,14.683,,0,1347,,815
2016SF1448,2016,14,VGSW,control,153,4.2,SF,1448,survived,20.8,6.0476,18.4395,29.2,7.3,914,4,1020
2016SF1490,2016,14,VGSW,control,154,2.2,SF,1490,survived,19.68,7.3603,21.8577,22.7,11.35,902,2,1100
